target_grade,assignment_preference,trimester_or_semester,age,pay_rent,urinal_choice,stall_choice,weetbix_count,weekly_food_spend,living_arrangements,weekly_alcohol,believe_in_aliens,height,commute,daily_anxiety_frequency,weekly_study_hours,work_status,social_media,gender,average_daily_sleep,sleep_schedule,sibling_count,allergy_count,random_number,favourite_number,favourite_letter,drivers_license,dominant_hand,enrolled_unit,weekly_exercise_hours,weekly_paid_work_hours,assignments_on_time,used_r_before,team_role_type,university_year,wam
High Distinction,draw up a schedule and work through it in planned stages,semester,20,NA,C: Furthest from the entrance,C: Furthest from the entrance,3,20,aunt and uncle and cousins,Less than 5 standard drinks,Yes,173,"Train, Walk",NA,19,Casual,Instagram,Female,8,7,3,0,8,8,Y,Yes,Right,DATA2902,4,7,Usually,Yes,9,Third year,84.25
Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,600,With partner,Less than 5 standard drinks,Yes,183,"Bus, Walk",10,56,I don't currently work,Twitter,Male,6,3,1,9,8,8,S,No,Right,DATA2002,14,4,Always,No,7,Second year,69.3
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,Share house,I don't drink alcohol,No,170,"Train, Walk",4,20,I don't currently work,Instagram,Male,7,8,1,0,2,2,K,Yes,Right,DATA2002,4,NA,Always,Yes,7,Second year,82
Distinction,cram at the last second,semester,20,yes,B: Middle,A: Closest to the entrance,0,300,College or student accomodation,I don't drink alcohol,No,161,"Train, Bus",10,35,I don't currently work,Instagram,Female,6,3,1,1,6,6,E,No,Right,DATA2002,3.5,0,Usually,Yes,3,Second year,75.3
High Distinction,cram at the last second,semester,20,no,A: Closest to the entrance,A: Closest to the entrance,3,150,College or student accomodation,Between 10 and 15 standard drinks,Yes,182.88,Walk,1,40,Casual,Instagram,Male,7,3,2,0,10,4,O,Yes,Right,DATA2902,7,10,Usually,Yes,7,Second year,84
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,A: Closest to the entrance,NA,100,College or student accomodation,I don't drink alcohol,Yes,168,Walk,7,NA,Part time,Twitter,Female,9,8,0,0,6,5,M,No,Right,DATA2002,5,14.5,Always,Yes,8,Second year,75
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,B: Middle,4,100,Share house,I don't drink alcohol,No,NA,Train,7,10,Casual,Other,NA,8,3,1,1,3,7,G,Yes,Right,DATA2002,5,10,Sometimes,Yes,8,Fourth year,70
Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,A: Closest to the entrance,0,100,Share house,Less than 5 standard drinks,Yes,160,"Bus, Walk",8,15,I don't currently work,Tiktok,Female,5,7,1,0,9,9,X,Yes,Right,DATA2002,0,0,Always,Yes,5,First year,67
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,With partner,I don't drink alcohol,No,162,Bus,5,10,I don't currently work,Other,Female,9,8,0,2,7,7,7,Yes,Right,DATA2002,7,0,Always,Yes,9,Second year,52
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,Share house,Less than 5 standard drinks,No,152.4,"Train, Walk",4,12,I don't currently work,NA,Male,6,1,1,0,10,10,C,Yes,Right,DATA2002,10,0,Usually,Yes,7,Second year,70
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instagram,NA,6.5,4,NA,NA,NA,NA,A,Yes,Right,DATA2002,12,NA,NA,No,10,NA,75
High Distinction,draw up a schedule and work through it in planned stages,semester,18,yes,C: Furthest from the entrance,C: Furthest from the entrance,7,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,183,"Train, Bus, Walk",2,9,I don't currently work,Instagram,Male,7,4,0,0,6,7,T,No,Right,DATA2002,4,NA,Always,Yes,10,Second year,85.125
High Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,6,169,Alone,Less than 5 standard drinks,Yes,172,Walk,10,8,Part time,Instagram,Male,9,7,1,1,1,3,S,No,Right,DATA2002,6,15,Never,Yes,9,Second year,69
High Distinction,do them immediately,semester,23,yes,C: Furthest from the entrance,B: Middle,4,120,Share house,I don't drink alcohol,No,163,Bus,2,20,I don't currently work,Other,Female,6,1,2,0,9,9,G,Yes,Right,DATA2002,2,0,Usually,Yes,7,Second year,100
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,B: Middle,0,100,College or student accomodation,I don't drink alcohol,Yes,154,Walk,8,20,I don't currently work,Tiktok,Female,7,4,2,0,6,8,E,No,Right,DATA2002,3,0,Sometimes,Yes,7,Third year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,174,Car,7,10,Casual,Instagram,Female,7,7,1,0,6,6,D,Yes,Right,DATA2002,4,15,Always,Yes,8,Second year,82
Credit,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,A: Closest to the entrance,2,400,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,170,"Train, Bus",7,20,Part time,Other,NA,8,9,1,0,3,8,X,Yes,Right,DATA2002,3,10,Usually,Yes,8,Fourth year,70
High Distinction,do them immediately,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,20,50,With parent(s) and/or sibling(s),I don't drink alcohol,No,180,Train,2,5,Casual,Other,Male,8,7,1,NA,7,7,G,Yes,Right,DATA2002,5,3,Always,Yes,8,Second year,91
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,B: Middle,2,90,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,179,Bus,6,30,Casual,Instagram,Male,7,4,2,0,7,9,T,No,Right,DATA2002,5,10,Sometimes,Yes,8,Second year,78
High Distinction,do them immediately,semester,23,yes,A: Closest to the entrance,A: Closest to the entrance,0,80,College or student accomodation,Less than 5 standard drinks,No,177,Walk,1,20,Part time,Instagram,Male,5,6,3,0,7,10,J,Yes,Right,NA,10,11,Usually,Yes,NA,Second year,70
High Distinction,cram at the last second,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,0,1000,Alone,I don't drink alcohol,Yes,163,Walk,5,8,I don't currently work,Tiktok,Female,5,1,0,2,7,1,A,No,Right,DATA2002,0,5,Always,Yes,4,First year,72
Distinction,do them immediately,semester,22,yes,B: Middle,B: Middle,0,100,College or student accomodation,I don't drink alcohol,Yes,175,Walk,6,10,I don't currently work,Tiktok,Male,5,7,2,0,6,NA,M,No,Right,DATA2002,2,0,Usually,NA,6,Third year,75
Credit,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,B: Middle,1,100,Alone,I don't drink alcohol,Yes,163,Bus,9,10,I don't currently work,Wechat,Female,6,5,0,0,5,5,Z,Yes,Right,DATA2002,1,0,Always,Yes,4,Second year,75
Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,5,150,With parent(s) and/or sibling(s),Between 10 and 15 standard drinks,Yes,180,"Bus, Car",3,15,Casual,Instagram,Male,7,4,2,1,7,8,W,Yes,Right,DATA2002,5,20,Always,No,7,Second year,75
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,0,100,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,185,Train,3,12,Casual,Youtube,Male,7,4,2,0,7,7,W,Yes,Right,DATA2002,20,12,Always,No,4,Second year,62
Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,0,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,169,"Train, Bus, Walk",4,20,I don't currently work,Discord,Male,7,8,2,0,9,10,S,Yes,Right,DATA2002,2,0,Always,No,6,Second year,75
Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,B: Middle,0,0,With parent(s) and/or sibling(s),I don't drink alcohol,No,165.5,"Train, Bus, Walk",5,25,Casual,Discord,Male,7,5,2,3,2,4,I,Yes,Right,DATA2002,2.5,2,Usually,Yes,4,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,300,With partner,I don't drink alcohol,Yes,183,Walk,6,15,Casual,Instagram,Male,7,5,0,2,1,1,L,No,Right,DATA2002,5,4,Usually,Yes,5,Third year,71
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,100,Share house,I don't drink alcohol,No,153,Walk,8,40,Part time,Instagram,Female,7,4,3,2,5,5,Y,Yes,Right,DATA2002,2,10,Always,Yes,5,Second year,81
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,3,350,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,180,"Train, Bus",2,15,Full time,Instagram,Male,7,8,1,0,8,8,Q,Yes,Right,DATA2002,8,40,Always,Yes,10,Second year,82
Distinction,draw up a schedule and work through it in planned stages,semester,21,no,B: Middle,B: Middle,0,50,with friends,Less than 5 standard drinks,Yes,160,Bus,10,20,I don't currently work,Instagram,Female,8,10,2,0,3,3,L,Yes,Right,DATA2002,4,0,Always,Yes,7,Second year,70
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,B: Middle,A: Closest to the entrance,2,100,Alone,I don't drink alcohol,Yes,164,Bus,8,12,I don't currently work,Instagram,Female,7,5,0,0,7,6,V,No,Right,DATA2002,5,0,Always,No,8,Second year,79
Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,B: Middle,0,400,With partner,I don't drink alcohol,No,173,Walk,4,21,I don't currently work,Other,Female,9,2,1,0,3,8,B,No,Right,DATA2002,4,0,Usually,Yes,6,First year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,A: Closest to the entrance,1,250,With parent(s) and/or sibling(s),I don't drink alcohol,No,160,"Train, Bus, Walk",4,40,I don't currently work,Instagram,Female,8,7,1,0,1,9,A,Yes,Right,DATA2002,5,0,Always,No,9,Third year,75
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,B: Middle,1,100,Alone,I don't drink alcohol,Yes,163,Bus,3,12,I don't currently work,Instagram,Female,6,4,0,0,5,5,A,No,Right,DATA2002,2,0,Always,Yes,5,Second year,68
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,A: Closest to the entrance,A: Closest to the entrance,0,300,Share house,I don't drink alcohol,Yes,178,"Bus, Car, Walk",2,35,I don't currently work,Wechat,Male,10,8,0,0,6,6,A,Yes,Right,DATA2002,7,0,Always,Yes,8,Third year,80.03
High Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,A: Closest to the entrance,A: Closest to the entrance,0,100,College or student accomodation,I don't drink alcohol,Yes,160,Bus,4,28,Casual,Tiktok,Female,8,10,0,0,7,7,S,No,Right,DATA2002,5,10,Always,Yes,10,Third year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,80,College or student accomodation,I don't drink alcohol,Yes,175,Walk,1,7,I don't currently work,Instagram,Male,8,10,0,0,9,6,F,Yes,Right,DATA2002,8,0,Always,Yes,10,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,150,Share house,I don't drink alcohol,No,170,"Bus, Walk",2,20,I don't currently work,Instagram,Male,8,7,1,0,7,7,W,Yes,Right,DATA2902,2,0,Always,Yes,8,Second year,87.25
Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,100,Alone,I don't drink alcohol,Yes,NA,Walk,NA,30,I don't currently work,NA,Male,8,3,0,0,6,3,E,No,Right,DATA2002,NA,NA,Usually,Yes,4,Second year,75
Distinction,cram at the last second,semester,19,no,A: Closest to the entrance,B: Middle,2,50,College or student accomodation,Less than 5 standard drinks,Yes,172,Walk,4,5,Casual,Instagram,Female,6,5,0,5,6,8,C,No,Right,DATA2002,4,15,Usually,Yes,8,Second year,76
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,80,College or student accomodation,I don't drink alcohol,Yes,175,Walk,10,7,I don't currently work,Instagram,Male,8,8,0,0,9,10,F,Yes,Right,DATA2002,8,0,Always,Yes,6,Second year,72
Distinction,draw up a schedule and work through it in planned stages,semester,22,no,B: Middle,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,160,Walk,6,35,Casual,Instagram,Female,7,7,1,0,4,4,Z,Yes,Right,DATA2002,5,15,Usually,Yes,6,Second year,60
Credit,cram at the last second,semester,20,no,A: Closest to the entrance,C: Furthest from the entrance,3,100,With parent(s) and/or sibling(s),Between 10 and 15 standard drinks,No,182.88,Bus,3,7,Part time,Instagram,Male,6,4,2,2,5,9,Y,No,Right,DATA2002,3,21,Usually,Yes,6,Second year,65
Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,B: Middle,2,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,180,"Train, Bus, Walk",3,15,Part time,Other,Male,6,2,3,0,5,4,W,Yes,Right,DATA2002,10,22,Usually,No,9,Second year,100
High Distinction,do them immediately,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,0,20,Share house,I don't drink alcohol,Yes,170,"Bus, Walk",7,20,I don't currently work,Instagram,Male,10,2,1,1,10,10,H,No,Right,DATA2002,0,0,Usually,Yes,9,Second year,74
High Distinction,cram at the last second,trimester,24,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,40,Cousins,Less than 5 standard drinks,Yes,176,"Train, Bus, Walk",3,10,I don't currently work,Tiktok,Male,7,6,2,2,2,2,A,Yes,Right,DATA2002,3,8,Always,Yes,8,Second year,80
Pass,cram at the last second,trimester,23,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,210,Alone,I don't drink alcohol,Yes,181,Walk,10,8,I don't currently work,Wechat,Male,7,4,1,0,5,8,J,Yes,Right,DATA2002,0,0,Usually,No,4,Second year,50
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,A: Closest to the entrance,A: Closest to the entrance,0,150,Share house,I don't drink alcohol,Yes,174,Walk,4,30,I don't currently work,Other,Female,7,5,1,0,6,8,S,Yes,Right,DATA2002,6,5,Always,Yes,8,Second year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,0,50,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,163,"Train, Walk",10,40,I don't currently work,Instagram,Female,7,7,1,0,2,2,A,No,Right,DATA2002,3,0,Always,Yes,10,Second year,75
Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,1.5,60,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,156,"Train, Bus, Walk",7,2,I don't currently work,Tiktok,Female,8,3,3,0,3,3,I,No,Right,DATA2002,2,0,Always,Yes,8,Second year,80
Credit,cram at the last second,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,300,Share house,Less than 5 standard drinks,Yes,160,"Bus, Walk",6,24,I don't currently work,Tiktok,Female,7,4,1,0,7,7,O,Yes,Right,DATA2002,6,0,Always,Yes,6,Third year,60
High Distinction,draw up a schedule and work through it in planned stages,semester,24,no,C: Furthest from the entrance,A: Closest to the entrance,2,NA,With parent(s) and partner,Between 5 and 10 standard drinks,Yes,165,"Bus, Walk, Tram",8,NA,Casual,Tiktok,Female,7,3,1,NA,7,7,F,No,Right,DATA2002,9,24,Always,Yes,9,NA,75
Pass,cram at the last second,NA,25,yes,C: Furthest from the entrance,B: Middle,3,165,College or student accomodation,Between 5 and 10 standard drinks,No,169,Walk,7,NA,I don't currently work,Instagram,Female,7,3,1,3,9,2,?,Yes,Right,DATA2002,5,0,Always,Yes,7,Third year,75
High Distinction,cram at the last second,semester,20,no,A: Closest to the entrance,A: Closest to the entrance,0,100,With partner,I don't drink alcohol,Yes,NA,"Bus, Walk",7,6,I don't currently work,Instagram,Male,8,6,0,0,7,7,T,Yes,Right,DATA2902,0,0,Usually,Yes,8,Second year,87
High Distinction,do them immediately,semester,20,yes,C: Furthest from the entrance,B: Middle,0,200,College or student accomodation,I don't drink alcohol,Yes,183,Walk,7,25,I don't currently work,Wechat,Male,8,8,1,1,4,7,K,Yes,Right,DATA2002,4,0,Always,Yes,7,Second year,85
Distinction,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,3,85,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,No,170,"Train, Walk",2,2,Casual,Instagram,Female,8,7,2,0,5,9,NA,Yes,Right,DATA2002,4.5,16,Always,Yes,7,Second year,81.7
High Distinction,cram at the last second,semester,19,no,B: Middle,B: Middle,2,250,Alone,Less than 5 standard drinks,No,177,Walk,2,40,I don't currently work,Wechat,Female,8,8,1,1,6,8,L,No,Right,DATA2002,4,0,Usually,Yes,4,Second year,83.5
Credit,cram at the last second,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,14,200,College or student accomodation,More than 20 standard drinks,Yes,190,"Car, Walk",1,2,Casual,Other,Male,8,4,2,0,3,NA,A,Yes,Right,DATA2002,30,20,Usually,Yes,8,Third year,65
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,10,With parent(s) and/or sibling(s),I don't drink alcohol,No,157,"Train, Bus, Walk",4,5,Casual,Instagram,Female,7,7,2,0,9,4,L,Yes,Right,DATA2902,5,7,Always,Yes,10,Second year,87.5
Distinction,cram at the last second,semester,19,NA,C: Furthest from the entrance,C: Furthest from the entrance,2,5,College or student accomodation,Between 5 and 10 standard drinks,Yes,173,live on campus,9,7,Part time,Other,NA,8,6,3,0,7,7,S,Yes,Ambidextrous,DATA2002,1,6,Always,Yes,5,Second year,69
Credit,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,150,Alone,I don't drink alcohol,Yes,178,Bus,8,25,Full time,Other,Male,6,4,0,0,6,6,F,No,Right,DATA2002,4,0,Usually,Yes,7,Third year,70
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,0,20,With parent(s) and/or sibling(s),I don't drink alcohol,No,153,Train,10,33,Part time,Instagram,Female,8,8,2,0,8,8,B,Yes,Right,DATA2002,0,9,Always,Yes,8,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,0,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,166,"Train, Bus",7,30,Self employed,Tiktok,Female,7,2,2,1,4,7,L,Yes,Right,DATA2002,NA,2,Always,Yes,7,Second year,75
Pass,draw up a schedule and work through it in planned stages,semester,23,yes,A: Closest to the entrance,C: Furthest from the entrance,0,80,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,169,Walk,5,8,NA,Instagram,Male,6,8,1,1,8,8,B,Yes,Right,DATA2002,6,0,Always,Yes,9,Third year,70
Distinction,cram at the last second,semester,18,no,C: Furthest from the entrance,C: Furthest from the entrance,NA,40,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,173,"Train, Bus, Walk",4,10,I don't currently work,Youtube,Male,7,4,1,0,6,9,R,Yes,Right,DATA2002,6,0,Usually,Yes,6,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,26,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,500,Share house,Less than 5 standard drinks,Yes,177,"Train, Bus",8,20,I don't currently work,Other,Male,6,6,0,0,7,7,V,Yes,Right,DATA2002,2,0,Usually,Yes,5,Fifth or higher year,69
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,150,with friends,Less than 5 standard drinks,Yes,167,Walk,10,3,Contractor,Youtube,Male,7,10,1,0,7,7,E,No,Right,DATA2002,0,4,Usually,Yes,10,Second year,91
Distinction,draw up a schedule and work through it in planned stages,semester,25,no,A: Closest to the entrance,A: Closest to the entrance,6,40,With partner,Less than 5 standard drinks,Yes,178,"Car, Walk",1,42,I don't currently work,Youtube,Male,7.25,10,NA,0,2,7,K,Yes,Left,DATA2002,10,0,Always,Yes,8,Second year,70.7
Distinction,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,0,150,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,155,Train,2,NA,Part time,NA,Female,8,3,1,NA,2,2,S,Yes,Right,DATA2002,NA,18,Always,Yes,5,NA,75
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,10,With partner,I don't drink alcohol,Yes,178,Walk,2,10,Casual,Other,Female,9,8,0,0,7,10,S,Yes,Right,DATA2002,2,0,Always,Yes,8,First year,78
Distinction,cram at the last second,semester,NA,no,C: Furthest from the entrance,C: Furthest from the entrance,0,300,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,162,"Train, Bus, Walk",4,5,Casual,Instagram,Female,8,5,4,0,2,2,R,Yes,Right,DATA2002,0.5,13,Usually,Yes,4,Second year,70
Credit,draw up a schedule and work through it in planned stages,semester,21,yes,B: Middle,B: Middle,0,400,Share house,I don't drink alcohol,Yes,178,"Train, Walk",3,5,I don't currently work,Other,Male,7,8,0,0,10,1,A,Yes,Left,DATA2002,6,0,Always,Yes,7,Second year,72
Distinction,cram at the last second,trimester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,Share house,I don't drink alcohol,No,181,"Train, Bus, Walk, Tram",9,20,I don't currently work,Instagram,Male,5,2,3,1,7,7,H,Yes,Right,DATA2002,7,0,Usually,Yes,7,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,NA,College or student accomodation,I don't drink alcohol,No,164,Walk,3,50,I don't currently work,Twitter,Female,8.5,5,1,2,7,7,Z,No,Right,DATA2002,0,0,Always,No,9,Second year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,B: Middle,NA,100,With partner,I don't drink alcohol,Yes,162,Walk,2,10,Contractor,Twitter,NA,10,7,1,3,8,10,M,Yes,Left,DATA2002,3,3,Always,Yes,6,Third year,75
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,5,130,College or student accomodation,I don't drink alcohol,No,173,Bike,5,20,Casual,Other,Male,7,4,3,0,4,4,H,Yes,Right,DATA2002,4,3,Sometimes,Yes,6,Second year,73
Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,0,NA,With parent(s) and/or sibling(s),NA,Yes,160,"Bus, Walk",9,10,Part time,Tiktok,Female,6,3,0,NA,7,7,C,Yes,Right,DATA2002,NA,NA,NA,Yes,7,NA,75
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,280,Alone,Less than 5 standard drinks,Yes,167,"Bus, Walk",6,25,I don't currently work,Instagram,Female,8,4,1,3,3,3,C,Yes,Right,DATA2002,7,0,Always,Yes,7,Second year,78
High Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,B: Middle,0,100,Share house,I don't drink alcohol,Yes,164,Train,7,38,I don't currently work,Wechat,Female,9,2,0,2,6,4,U,No,Right,DATA2002,2,0,Always,Yes,3,Second year,68
High Distinction,cram at the last second,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,0,250,Alone,Less than 5 standard drinks,No,171,Walk,10,56,I don't currently work,Tiktok,Male,6,1,0,0,3,3,A,Yes,Right,DATA2002,1,0,Always,Yes,8,Third year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,130,Share house,Less than 5 standard drinks,Yes,163,Walk,5,30,I don't currently work,Other,Female,8,2,1,0,6,9,R,No,Right,DATA2002,5,0,Usually,Yes,1,Second year,75.65
Distinction,draw up a schedule and work through it in planned stages,trimester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,288,Alone,Less than 5 standard drinks,Yes,164.5,Bus,6,26,I don't currently work,Other,Female,7,8,0,0,7,8,Y,No,Right,DATA2002,8,0,Always,Yes,8,First year,72
Distinction,cram at the last second,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,6,200,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,195,"Train, Bus, Walk",5,5,Casual,Instagram,Male,6,2,2,0,6,6,J,Yes,Right,DATA2902,7,24,Always,Yes,7,Fourth year,73
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,400,Share house,Less than 5 standard drinks,Yes,175,Train,2,15,I don't currently work,Wechat,Male,6,1,1,0,7,7,S,No,Left,DATA2002,0,0,Always,Yes,4,Third year,65
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,3,50,With parent(s) and/or sibling(s),I don't drink alcohol,No,176,"Train, Bus",5,55,Self employed,Instagram,Female,8,6,0,0,7,4,A,Yes,Right,DATA2002,4,3,Always,Yes,7,Second year,75
Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,1,150,Share house,I don't drink alcohol,Yes,172,"Bus, Walk, Tram",6,50,I don't currently work,Youtube,Female,7,4,1,1,7,7,X,Yes,Right,DATA2002,1,0,Always,Yes,6,Second year,59.5
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,500,Share house,I don't drink alcohol,Yes,NA,Train,8,4,I don't currently work,Instagram,Female,10,1,0,2,2,7,A,No,Right,DATA2002,1,0,Usually,No,3,Second year,78
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,B: Middle,4,200,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,186,Train,5,20,Full time,Instagram,Male,6,6,1,2,8,7,S,Yes,Right,DATA2002,12,40,Always,Yes,8,Third year,81
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,5,200,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,185,"Train, Bus, Car",3,35,Self employed,Instagram,Male,9,8,2,0,7,7,A,Yes,Right,DATA2002,9,20,Always,Yes,8,Third year,70
High Distinction,do them immediately,semester,19,yes,A: Closest to the entrance,B: Middle,2,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,165.1,"Train, Bus, Car, Walk",2,5,Casual,Instagram,Male,8,8,1,0,4,9,G,Yes,Right,DATA2902,3,6,Always,Yes,7,Second year,88
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,B: Middle,0,250,College or student accomodation,Less than 5 standard drinks,Yes,165.1,Walk,7,10,I don't currently work,Tiktok,Female,7,7,2,0,10,10,A,Yes,Right,DATA2002,2,15,Usually,Yes,9,Third year,78
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,B: Middle,1,150,With partner,I don't drink alcohol,No,178,Walk,5,15,Casual,Other,Male,8,6,2,2,6,8,B,Yes,Right,DATA2002,5,0,Always,Yes,6,Second year,70
